"TIME","GEO","AGE","UNIT","Value"
"2018","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Average","29.1"
"2018","European Union - 27 countries (from 2020)","From 65 to 74 years","Average","28.6"
"2018","European Union - 28 countries (2013-2020)","From 65 to 74 years","Average","29.1"
"2018","European Union - 27 countries (2007-2013)","From 65 to 74 years","Average","29.2"
"2018","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","From 65 to 74 years","Average","31.5"
"2018","Euro area - 19 countries  (from 2015)","From 65 to 74 years","Average","31.5"
"2018","Euro area - 18 countries (2014)","From 65 to 74 years","Average","31.7"
"2018","Belgium","From 65 to 74 years","Average","22.0"
"2018","Bulgaria","From 65 to 74 years","Average","24.6"
"2018","Czechia","From 65 to 74 years","Average","15.3"
"2018","Denmark","From 65 to 74 years","Average","3.8"
"2018","Germany (until 1990 former territory of the FRG)","From 65 to 74 years","Average","35.9"
"2018","Estonia","From 65 to 74 years","Average","0.1"
"2018","Ireland","From 65 to 74 years","Average","28.4"
"2018","Greece","From 65 to 74 years","Average","24.5"
"2018","Spain","From 65 to 74 years","Average","31.2"
"2018","France","From 65 to 74 years","Average","28.3"
"2018","Croatia","From 65 to 74 years","Average","22.5"
"2018","Italy","From 65 to 74 years","Average","33.9"
"2018","Cyprus","From 65 to 74 years","Average","33.4"
"2018","Latvia","From 65 to 74 years","Average","18.0"
"2018","Lithuania","From 65 to 74 years","Average","15.7"
"2018","Luxembourg","From 65 to 74 years","Average","42.9"
"2018","Hungary","From 65 to 74 years","Average","16.9"
"2018","Malta","From 65 to 74 years","Average","43.4"
"2018","Netherlands","From 65 to 74 years","Average","44.3"
"2018","Austria","From 65 to 74 years","Average","38.8"
"2018","Poland","From 65 to 74 years","Average","19.5"
"2018","Portugal","From 65 to 74 years","Average","26.6"
"2018","Romania","From 65 to 74 years","Average","25.3"
"2018","Slovenia","From 65 to 74 years","Average","11.3"
"2018","Slovakia","From 65 to 74 years","Average","9.4"
"2018","Finland","From 65 to 74 years","Average","22.6"
"2018","Sweden","From 65 to 74 years","Average","26.8"
"2018","Iceland","From 65 to 74 years","Average","9.2"
"2018","Norway","From 65 to 74 years","Average","25.9"
"2018","Switzerland","From 65 to 74 years","Average","32.0"
"2018","United Kingdom","From 65 to 74 years","Average","32.3"
"2018","Montenegro","From 65 to 74 years","Average","23.9"
"2018","North Macedonia","From 65 to 74 years","Average","20.7"
"2018","Albania","From 65 to 74 years","Average",":"
"2018","Serbia","From 65 to 74 years","Average","18.3"
"2018","Turkey","From 65 to 74 years","Average","23.3"
"2018","Kosovo (under United Nations Security Council Resolution 1244/99)","From 65 to 74 years","Average","42.0"
"2019","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","From 65 to 74 years","Average","28.5"
"2019","European Union - 27 countries (from 2020)","From 65 to 74 years","Average","27.9"
"2019","European Union - 28 countries (2013-2020)","From 65 to 74 years","Average","28.5"
"2019","European Union - 27 countries (2007-2013)","From 65 to 74 years","Average","28.6"
"2019","Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015)","From 65 to 74 years","Average","30.7"
"2019","Euro area - 19 countries  (from 2015)","From 65 to 74 years","Average","30.7"
"2019","Euro area - 18 countries (2014)","From 65 to 74 years","Average","30.8"
"2019","Belgium","From 65 to 74 years","Average","33.6"
"2019","Bulgaria","From 65 to 74 years","Average","20.9"
"2019","Czechia","From 65 to 74 years","Average","14.9"
"2019","Denmark","From 65 to 74 years","Average","6.7"
"2019","Germany (until 1990 former territory of the FRG)","From 65 to 74 years","Average","32.7"
"2019","Estonia","From 65 to 74 years","Average","0.2"
"2019","Ireland","From 65 to 74 years","Average","24.1"
"2019","Greece","From 65 to 74 years","Average","22.1"
"2019","Spain","From 65 to 74 years","Average","27.4"
"2019","France","From 65 to 74 years","Average","29.4"
"2019","Croatia","From 65 to 74 years","Average","18.9"
"2019","Italy","From 65 to 74 years","Average","34.9"
"2019","Cyprus","From 65 to 74 years","Average","35.4"
"2019","Latvia","From 65 to 74 years","Average","14.2"
"2019","Lithuania","From 65 to 74 years","Average","20.4"
"2019","Luxembourg","From 65 to 74 years","Average","44.0"
"2019","Hungary","From 65 to 74 years","Average","11.3"
"2019","Malta","From 65 to 74 years","Average","42.9"
"2019","Netherlands","From 65 to 74 years","Average","42.7"
"2019","Austria","From 65 to 74 years","Average","35.0"
"2019","Poland","From 65 to 74 years","Average","22.8"
"2019","Portugal","From 65 to 74 years","Average","25.1"
"2019","Romania","From 65 to 74 years","Average","21.6"
"2019","Slovenia","From 65 to 74 years","Average","9.4"
